name,description,website
Ministerio de Economía,"El objetivo de la Oficina GPS del Ministerio de Economía es el fomento del emprendimiento y la inversión en Chile a través de la promoción de un Estado disciplinado, eficiente y coordinado en la tramitación de permisos, con reglas claras y un marco regulatorio que asegure la certeza jurídica. Para ello, uno de los proyectos que se encuentra impulsando la oficina es la plataforma Sistema Unificado de Permisos (“SUPER”), la que tiene como objetivo que emprendedores y titulares de los proyectos de inversión puedan tramitar sus permisos de forma digital en una ventanilla única, generando mayor eficiencia y transparencia.",https://www.economia.gob.cl/
EDSA Asociados SAC,None,http://www.edsaasociados.com
Softtek,None,https://www.softtek.com
Barracks SpA,"Barracks es una startup de tecnología de alto y rápido crecimiento en el mercado de los esports.Nuestro foco es mejorar la experiencia en que se viven los esports tanto desde una mirada de jugador como de observador, donde el manejo de nuevas tecnologías, data y mejora continua pasa a ser un punto fundamental en nuestro trabajo. Actualmente la empresa tiene presencia en más de 16 países y en más de 30 de las más importantes ligas profesionales de esports en el mundo, nuestros softwares ayudan a miles de personas a crear poderosos espacios y flujos de trabajo, a entregar experiencias inolvidables y a hacer lo imposible, posible. Si estás buscando impactar a todas las personas que consumen esports en el mundo, este es el lugar correcto para estar! ",https://www.barracks.gg
KGByCIA,None,http://kgbycia.org/
Lisual,"Junior Growth Marketing Lead¡Sumate a nuestro equipo! Nos encontramos en búsqueda de un Growth Marketing Lead. Tu función principal será diseñar e implementar el plan estratégico de Growth de Lisual, acompañando su crecimiento y el posicionamiento de marca.Además valoraremos si tenes conocimientos/experiencia en...SEO/PerformanceExperiencia en industrias B2B tecnológicasEsperamos que formes parte de nuestro equipo.",https://lisual.com/
AREAweb,"Agencia de desarrollo web,  amplia experiencia en creación de proyectos online, sitios web, aplicaciones, landings, etc. Django, Python, Bootstrap, jQuery, etc.AW ofrece un servicio completo, desde la conceptualización y asesoría hasta el diseño, desarrollo y puesta al aire, considerando plataformas móviles y sociales, producción de contenidos, monitoreo y análisis.",http://areaweb.cl/
Geoxite,None,www.geoxite.com
Dafiti,None,http://www.dafiti.cl/
Parco,None,https://parcoapp.com
Kyklos,"Kyklos es una empresa joven y agil atenta a entregar soluciones que puedan reforzar la cultura ambiental a través de infrestructura, educación, intervenciones territoriales y marketing con sentido. Buscamos un profesional comprometido con la generación de cambios a través de proyectos innovadores de triple impacto.  Buscamos a un generador de soluciones tecnológicas en nuestras propuestas para transitar a un modelo sostenible. ",https://www.kyklos.cl/
We Remote,"WeRemote es una novedosa plataforma que se empeña en generar posibilidades para los profesionales y empresas que pueden necesitar de sus servicios. Bajo nuestros procesos de selección y facilidad de contacto, te daremos las mejores opciones para contratar el profesional adecuado para cada situación.",https://weremote.net/
masFusion,None,http://www.masfusion.com/
Santex,"We are looking for your amazing talent!! This is your chance to join our talent network and take your career to the next level 🚀If you are a Sr. Node Engineer and meet the following requirements, do not hesitate to send me your resume: alejandra.hernando@santexgroup.comWe are looking for talented people who want to join a company with deep experience in the development of software and digital solutions and who are passionate about challenges, being part of a collaborative, distributed and continuous learning environment.",https://santexgroup.com/jobs-all/
HICAPPS,"HICAPPS es un shop de desarrollo de APPs a medida para el sector salud.Viste alguna vez ""Pimp my ride"" o similares? Es verdad, dedicarse a desarrollar APPs custom no es la idea más rentable del mercado, pero es lejos lo más entretenido y reconfortante como desarrollador.En HICAPPS:-Recibimos siempre nuevas solicitudes: esto nos permite ir probando nuevas tecnologías y manteniéndonos al día en nuevos paradigmas y frameworks (no trabajar en el mismo código fuente por años)-Cercanía con usuarios: nos reunimos directamente con el cliente, entendemos su problema, diseñamos, desarrollamos e implementamos su solución, y compartimos su alegría al ver su necesidad satisfecha.-Somos un shop boutique: no tenemos oficina (por ahora). Todos trabajamos remoto, y nos reunimos a ponernos al día en algún co-work de común acuerdo y una que otra reunión virtual.-Te interesa el escalamiento? We got it. En ocasiones, el desarrollo a medida termina siendo un SAAS que implementamos a escala regional.",https://hicapps.cl
Hostname,None,http://www.hostname.cl
Fortytwo Sports,None,http://www.fort42wo.com/
Blue Company,"Blue Company es una empresa con más de 18 años de experiencia realizando proyectos de alta complejidad en Internet, dando servicios tanto a Empresas del mundo privado como Organizaciones del Gobierno. Utilizamos Design Thinking para entender los problemas de nuestros clientes, técnicas de UX para diseñarlos, y metodologías ágiles para desarrollarlos. Nos gustan los proyectos que impactan en la vida de las personas, mientras mas grandes y complejos mejor. Si tienes habilidad para solucionar problemas, te apasiona la tecnología, y eres proactivo , este podría ser el trabajo para tí. Nuestros clientes vienen de áreas de comunicaciones, marketing, recursos humanos y tecnología.",http://www.bluecompany.cl
RECYLINK,"En RECYLINK nos dedicamos a salvar el mundo. Somos una empresa joven con un equipo millenial, con ganas de cambiar las cosas. Tenemos un potente sentido y espíritu ambiental. Nuestro propósito es disminuir el impacto ambiental de la construcción y otras industrias mediante una gestión de residuos responsable con el medio-ambiente. Estamos re-educando a diversas industrias para ser más sustentables. Tenemos una cultura organizacional horizontal, donde todos son escuchados, y las buenas ideas son bienvenidas y celebradas. Buscamos ser transparentes y justos, y creemos que el trabajo en equipo aporta mucho más que los esfuerzos individuales.",http://recylink.com/
Crehana,"Crehana está creciendo a pasos agigantados; y nuestro objetivo de ser líderes en la industria es lo que nos hace venir a trabajar todos los días. Queremos posicionarnos como la plataforma líder en educación en la región, y por supuesto ser número uno en Perú. Y es aquí donde tú entras a tallar: estamos buscando un Front-end Developer para que se una a nuestro Team de Tech y nos ayude a cumplir con todos los objetivos que nos hemos propuesto.Tu misión será garantizar el desarrollo y manejo del producto para empresas dentro de Crehana.Si eres una persona apasionada por la tecnología y te gusta asumir nuevos desafíos; entonces, esta posición es ideal para ti.",http://www.crehana.com
Rusteria,None,http://www.rusteria.com
wQ SpA,None,http://www.workquality.cl
Proyecto MOMS,"Proyecto MOMS es una plataforma de tecnología que busca conectar talento femenino con oportunidades de empleo flexibles. Actualmente buscamos integrar a nuestro equipo a una persona que desee sumarse y asumir retos desde el día 1 en nuestro equipo de tecnología. Si tienes ganas de desarrollarte, adquirir conocimiento y lo más importante trabajar con flexibilidad... Proyecto MOMS es para ti! ",http://www.proyectomoms.com
Lab4U,"En Lab4U queremos democratizar las ciencias y revolucionar la educación científica.Crear soluciones educativas que les permiten a los maestros y estudiantes a lograr su máximo potencial en las ciencias es inspirador y emocionante. Este trabajo requiere un equipo dedicado e interdisciplinario de profesionales comprometidos con nuestra visión que buscan oportunidades de crecimiento.Estamos creando un equipo dinámico, idealista, y divertido que le encanta soñar nuevas maneras para hacer el mundo un mejor lugar, e interesado en crear las herramientas que harán ese sueño realidad.Si eres un soñador o soñadora interesado en tener un impacto positivo en el mundo a través de tu trabajo, queremos que seas parte de nuestro equipo!",http://www.lab4u.co
BlazingSQL,"BlazingSQL, startup de tecnología basada en Perú y EEUU busca Ingeniera(o) C++. A finales del 2017, BlazingSQL cerró su Seed Capital por USD 2.9M con Samsung y NVIDIA como inversionistas. BlazingSQL ha creado uno de los motores analíticos de Big Data más rápidos del mundo sobre una tecnología de SQL distribuida en GPUs.En BlazingSQL se ha creado una comunidad cálida y honesta donde todos buscan aprender el uno del otro, crecer y apoyarse mutuamente desde su primer día en la empresa y durante toda su trayectoria profesional. Nadie es juzgado por tener ideas diferentes y se promueve la introspección y empatía. El horario de trabajo es flexible. Intentamos ser una organización bilingüe y ofrecemos opciones para financiar clases de inglés.",http://blazingsql.com
Cometa,None,http://stealthmode.com
T2O media,None,http://www.t2omedia.com/
Motion displays,"En Motion Displays, creamos soluciones digitales para empresas de primer nivel en Latinoamérica. Trabajamos para bancos, retailers y emprendedores, entre otros. Somos una empresa conformada por jóvenes expertos en negocio, en tecnología y en marketing digital. Nuestra tarea es entregar a nuestros clientes soluciones tecnológicas innovadoras que le permitan mejorar la experiencia de compra de sus clientes, la productividad de sus empleados, reducir sus costos de operaciones y aumentar las ventas.",http://www.motiondisplays.cl/
Babytuto,"Babytuto es un concept store que acompaña a todos quienes están en la etapa de crianza. Sabemos por lo que pasas cuando crías, por eso estamos ahí, acompañándote con información, guías de navegación, asesorías y todos los productos que necesitas durante el desarrollo del bebé. Nuestro foco esta en la información: que sea útil, relevante y te ayude a tomar decisiones con datos que solo alguien que sabe por lo que pasas cuando crías conoce que necesitas.  Actualmente estamos buscando el rol de Content QA, persona encargada de crear las fichas y descripciones de productos en el sitio, pero con una mirada integral en dar la información técnica necesaria, como también los aspectos que ayudan a tomar realmente la decisión de compra. ",http://www.babytuto.com
Mapcity,"En Mapcity creemos que las variables geográficas permiten a los negocios mejorar su desempeño. Tener claro cómo se ""comporta mi negocio geográficamente"" hoy es es una obligación para empresas, cuya operación tiene un componente en el mundo real.Diariamente ayudamos a nuestros clientes a responder preguntas como: ¿Dónde viven mis clientes o potenciales clientes? ¿Dónde se concentran mis ventas? ¿Qué variables del entorno son claves para el éxito de mi negocio? ¿Cuál es la mejor ubicación para mi próxima sucursal? ¿Cómo optimizo el trabajo de mi personal en terreno? …todo de manera automatizada.Hoy nuestros productos tienen presencia en Chile, EEUU, Perú, Colombia, Bolivia, y somos una filial de Equifax, con presencia en 25 países.",http://corporativo.mapcity.com/
The Bonding,"¡Súmate al equipo!Importante compañía Industrial dedicada e entregar soluciones de automatización y control de procesos, se encuentra en la búsqueda de un Desarrollador Web para el área de Marketing. Un fanático de la Eficiencia Industrial desde hace 80 años, un socio que te acompaña en el desarrollo de todos tus proyectos, entregando soluciones de automatización, control y accionamiento a distancia de procesos y máquinas, gestión de energía en zonas imposibles y anticipación de fallas. Todo, desde el minuto uno, hasta cruzar la meta.Somos contacto humano y profesional en terreno hasta el fin del mundo, también asistencia remota a velocidad digital, y lo más trascendente, siempre primará nuestro compromiso contigo, tu equipo y tu proyecto, con Eficiencia Industrial a prueba de balas y Error Cero.Navega esta página, conocerás las soluciones que hemos ejecutado en Chile, Perú y Ecuador junto a nuestros socios líderes en el mundo y verás que tenemos un futuro en común.",http://www.grupo-dna.com/
Klever Team,"Klever es más que otra forma de decir inteligente, hábil o ingenioso. Ser Klever es abrazar el cambio y aportar en la co-creación de espacios más colaborativos, motivadores y efectivos a la hora de satisfacer al cliente, utilizando la agilidad como un medio para este fin.Somos una consultora boutique en Chile, con 3 años de experiencia en el mercado. Nuestro propósito es acompañar a las organizaciones en la implementación de cambios claves dentro de sus equipos, los cuales permitirán potenciar su crecimiento por medio de la adopción de nuevas formas de trabajo, habilitar la innovación y un ambiente en donde se generen equipos creativos y comprometidos.Nos identificamos como impulsores de cambios, apoyando con Talentos Creative & Tech para conformar sus equipos Klever.",https://kleverteam.cl
Nimbic,"Mentor Graphics is a leader in electronic design automation (EDA) software. We enable companies to develop better electronic products faster and more cost-effectively. Our innovative products and solutions help engineers conquer design challenges in the increasingly complex worlds of board and chip design.We are looking for software engineers to join our R&D center in Santiago, Chile.",http://www.nimbic.cl
Connectae,None,www.Connectae.com
VendorX,"VendorX es un software de pre-calificación que permite a los proveedores enviar solicitudes de calificación y a las constructoras (contratista general) evaluar el riesgo de cada proveedor. Todo vía data management y tecnología 🤖Somos equipo con un alto grado de compromiso y contamos con una cultura sana, horizontal y desafiante para seguir avanzando en lograr nuevos objetivos 🚀",http://vendorx.org
ñ{ñ{,None,http://auasdkiopdaskop.cl
Nearsure,"Nearsure was created to bring amazing talent within Latin America to the US market, helping professionals land cool projects and US companies build development teams efficiently. By being remote-first, we can build teams of top tech talent wherever they are in LATAM while keeping a lean organizational structure.If you are a committed, English-Savvy professional and have the right skills for the job, it doesn't matter where you are. You can join a team of highly skilled multicultural people to work on very cool projects.",https://www.nearsure.net/
Moblox.io,None,http://www.moblox.io
Metrik,"En Metrik llevamos años desarrollando a la medida de las necesidades de nuestros clientes, lo que nos ha dado experiencia y práctica en el diseño de soluciones de productividad las cuales hoy estamos ""empaquetando"" en un nuevo producto de software. Estamos en una etapa donde necesitamos agilizar nuestro ritmo de producción, para lo cual necesitamos un(a) Programador(a) Front End que nos aporte con sus conocimientos, experiencia y visión para lograr un alto estándar de servicio.",http://www.metrik.cl
Innovandio,None,http://www.innovandio.com
Currency Bird SpA,"Somos un emprendimiento FinTech especializado en transferencias internacionales, que busca hacer más fáciles, convenientes y transparentes los pagos al exterior.Nos establecimos como empresa en 2015 y desde entonces hemos sido seleccionados en diversas competencias y aceleradoras de negocios como Start-Up Chile, Imagine Business Labs, NXTP Labs, Endeavour y Scale Up de CORFO, lo que nos ha llevado a tener un crecimiento exponencial con más de 40.000 clientes y transferencias internacionales a más de 50 países.Hoy estamos en proceso de expansión e internalización para llevar nuestras operaciones a otros países de Sudamérica y crecer en nuestros diferentes segmentos de clientes y productos. Estamos ubicados en la ciudad de Puerto Varas, en la región de Los Lagos, Chile y abiertos al trabajo remoto. ",https://currencybird.cl
Falabella Retail,"En Falabella nuestra pasión son nuestros/as clientes/as, y queremos brindarles la mejor experiencia de compra. Por eso, necesitamos incorporar a nuestros equipos personas creativas, proactivas, con orientación al servicio y con muchísimas ganas de enfrentar nuevos desafíos.¿Tienes ganas de ser parte de la empresa de retail líder en Chile y Latinoamérica? Te invitamos a que formes parte de Falabella Retail S.A! Si eres Business Analyst (o te gustaría serlo) ¡esta oferta te va a encantar!",http://www.falabella.com
Nederlia Tech,"Having recently expanded to its 49th market, this retail giant is on the lookout for a new Lead Frontend Engineer. The retail market is one of the most technically advanced in the world, and our newest client is leading the charge. If you’re interested in taking your skills to the next level, at one of the fastest growing retail brands in the world, stop reading, scroll down and apply.NederliaSPECIALIST IN SPOTTING GLOBAL TECH TALENT- Technical Recruitment Experts",http://www.nederlia.com/
UNIT,"UNIT es una empresa que existe para resolver los grandes problemas de la humanidad, desde la eficiencia energética hasta la pobreza y el hambre. Desarrollamos cada uno de nuestros productos con un fuerte código ético, siempre pensando en las necesidades de nuestros clientes para entender distintas necesidades y así construir elementos de los que nos podemos hacer responsables y responder siempre con el mejor servicio. En UNIT entendemos la inteligencia como un todo, una inteligencia que nos une a todos, eso es la inteligencia universal. Somos una empresa desarrolladora de productos de inteligencia.",https://weareunit.ai
Potencial Digital,None,http://potenciadigital.com/
iVisa,"We know our biggest strength is our people and we’re looking to the best developer to help us build out new features and product lines for our global travel business.Our Developer team is fully distributed/remote. We use the latest technologies including Laravel v8 (PHP 8), Vue.js, and Docker. Our codebase is about 80% PHP and 20% Vue.js, so a strong understanding of each technology is essential. We have a fast-paced development cycle that utilizes unit-testing and we deploy code to production daily. We are currently carrying out new projects such as improving and enhancing our application and website. Also, we are going to launch an application to the market, so your experience will be very helpful. Also, we want to innovate with the best tools to make our work faster and more efficient. ",https://www.ivisa.com/
Perk,"Permitimos a cualquier plataforma digital hacer upselling ofreciendo seguros y garantías extendidas a sus usuarios. Lo hacemos mediante dos formas:Construimos plugins en las distintas plataformas de e-commerce, como Shopify o Magento, para que cualquier e-commerce pueda instalarlo y ofrecer estos productos a sus usuariosTenemos una API desarrollada para que cualquier plataforma desarrollada in-house se pueda integrar fácilmente.Somos parte de Startup Chile y del portafolio de Digital Ventures.Somos un equipo joven, simpático, tenemos un muy buen ambiente laboral, relajados, horario flexible y estaremos trabajando 100% remoto, al menos en el corto plazo.",http://www.perk.cl
Izytech,"IZYTECH es una empresa innovadora que desarrolla e implementa software orientado a empresas que buscan controlar y gestionar sus activos, control de asistencia, email marketing, entre otros. El software es diseñado 100% de manera local, lo que nos da la posibilidad de aportar y ampliar nuestro conocimiento y creatividad al máximo, explorando distintas herramientas y alternativas como posibles soluciones a nuestros clientes.",http://www.izytech.com
NED," Somos NED, damos servicios digitales relacionados principalmente con video online. Resolvemos las problemáticas de nuestros clientes, mayormente canales de televisión en la región, de una manera eficiente permitiéndoles valorizar sus activos digitales y también gestionarlos de una manera simple y cómoda. Hay caminos que queremos recorrer y estamos buscando manos y cabezas que nos ayuden a exploralos. Queremos inyectar lo que veamos interesante, junto con lo que ya hemos aprendido dentro de nuestras plataformas, por lo que necesitamos mejorarlas y evolucionarlas tanto como sea posible, considerando el volumen que actualmente ya tienen, pero también para una curva de crecimiento tipo CoronaVirus. 8-O",http://ned.cl
Baustack,"Quienes somos:PragmaLab es una empresa tecnológica con sede en Santiago de Chile. Actualmente nos encontramos en etapa de aceleración en el programa Build de Start-Up Chile con nuestra solución No-Code llamada Baustack.El problema que queremos resolver:Muchas empresas están en el camino de la transformación digital, sin embargo no cuentan con las herramientas para hacerlo y el desarrollo a medida suele ser costoso y tomar mucho tiempo.La solución: Baustack es una plataforma 100% web que permite crear aplicaciones de manera rápida y simple, sin la necesidad de conocimientos técnicos. Adicionalmente realizamos proyectos a medida para aquellos clientes que tengan una necesidad más específica.Para donde vamos: Ya tenemos una primera versión con clientes pagados. Estamos en pleno crecimiento y por eso necesitamos un desarrollador Backend con experiencia en Python, Django y SQL.El trabajo es 100% remoto.",https://www.baustack.com/
Rokket Labs,Rokket Labs es una empresa dedicada a la transformación digital y desarrollo de software.Nos encantan los proyectos complejos y desafiantes en los cuales a través de la implementación de tecnología podemos cambiar la forma en la cual se hacen las cosas tanto en empresas como en la vida de la gente.Tenemos una comunicación cercana.Generamos cercanía con nuestros clientes manteniendo una comunicación constante durante el proceso de transformación digital.Nuestro sello es la calidad y experiencia.Nos preocupamos de cada detalle de las soluciones tecnológicas que construimos. Nos avalan las decenas de proyectos tecnológicos desarrollados con éxito.Nuestra misión es seguir mejorando la vida de las personas a través de soluciones tecnológicas.,http://rokketlabs.com
PortalTerreno.com,"PortalTerreno.com es el portal inmobiliario de terrenos más visitado en Chile y con la mayor oferta de terrenos en México, y pronto a escalar a otros países.Queremos ser el portal referente del mercado de los terrenos en Latino América.Somos parte de:500 Startups (México)Start-Up Chile (Seed Gen.18 y Growth Gen.1)",https://www.PortalTerreno.com
rgg,None,https://www.getonbrd.com/companies/new
JakSol,None,http://www.jaksol.io
VZOR Spa,"VZOR Spa es la empresa desarrolladora de VZORSuite, el software de monitoreo 360,Nuestro producto está en el marcado y estamos siempre en búsqueda de mejorar la experiencia de nuestros clientes. Es un espacio grato especial para adquirir nuevos conocimientos y mejorar como profesional. Es un equipo muy unido donde se podrá compatir un grato momento.",https://www.vzorsuite.com
Fabrik,"En Fabrik estamos apostando fuertemente por la transformación digital, construyendo soluciones para empresas de diferentes rubros a la vez que buscamos el desarrollo de nuestros colaboradores y la investigación de nuevas tecnologías En definitiva, buscamos personas que sumen y que vean en cada reto una oportunidad. ¿Te interesa? Si te has sentido identificado, no lo dejes pasar. Estaremos encantados de conocerte y presentarte nuestro reto.",https://www.fabrik.pe
Twable,None,www.twable.com
TOCTOC.com,"¡Únete al equipo TOCTOC.com! Somos líderes en publicidad, información y tecnología inmobiliaria. Estamos creciendo diariamente, entregando herramientas e información del rubro.Buscamos talentos alegres, super motivados/as y que vibren con los nuevos desafíos. Somos un equipo al que le encantan las nuevas ideas y no tenemos miedo a equivocarnos. Nuestras metas son altas, tenemos grandes expectativas del futuro y ¡queremos comernos el mundo!",https://www.toctoc.com
Work On Law,"Work On Law es un producto digital de nicho que ayuda a estudios de abogados y empresas a encontrar talento legal en forma rápida e inteligente. Cualquier parecido con Get On Board es sólo coincidencia :) .Somos una startup que atiende clientes en Chile, Colombia y México, con planes de continuar creciendo en otros países de Latam.Estamos formando nuestro equipo de desarrollo interno y buscamos a un developer responsable y motivado. Con muchas ganas de aprender de las técnologías que ocupamos y de los errores propios. Esto último nos parece esencial para mejorar día a día.Sin devs juniors no hay seniors. Así de simple. Por eso creemos en los profesionales en etapas tempranas de su carrera. Esperamos puedan convertirse en protagonistas y futuros líderes del equipo.",https://workon.law
Vipealo,None,https://www.vipealo.com
ByB Consultores,None,https://bybconsultores.hiringroom.com/jobs
Beenary,"En Beenary llevamos más de 5 años desarrollando software, somos un equipo flexible y bastante abierto a discutir nuevos proyectos e ideas. Somos una empresa en crecimiento, que nos gusta desarrollar soluciones de calidad, funcionales y atractivas visualmente, por eso creemos que es importante la usabilidad y la experiencia de los usuarios.Nos consideramos una escuela, donde estamos aprendiendo cosas nuevas constantemente, siendo proactivos y motivados, buscando siempre crecer personal y profesionalmente. Actualmente nos encontramos desarrollando proyectos relacionados con el rubro inmobiliario y financiero.",https://www.beenary.cl
